[stage1] city=porto trajs=200000 roads=154144 batch=32 layers=4 bf16=True device=cuda
epoch 0 step 002950  total 0.3298  mgm 0.0092  contrast 0.3114  next 0.0091  lr 2.93e-04
epoch 0 step 003000  total 0.3207  mgm 0.0164  contrast 0.2787  next 0.0255  lr 2.93e-04
epoch 0 step 003050  total 0.3723  mgm 0.0067  contrast 0.3594  next 0.0063  lr 2.93e-04
epoch 0 step 003100  total 0.2847  mgm 0.0059  contrast 0.2717  next 0.0071  lr 2.93e-04
epoch 0 step 003150  total 0.3442  mgm 0.0436  contrast 0.2497  next 0.0509  lr 2.93e-04
epoch 0 step 003200  total 0.2725  mgm 0.0045  contrast 0.2598  next 0.0083  lr 2.92e-04
epoch 0 step 003250  total 0.2556  mgm 0.0053  contrast 0.2422  next 0.0081  lr 2.92e-04
epoch 0 step 003300  total 0.2544  mgm 0.0057  contrast 0.2433  next 0.0054  lr 2.92e-04
epoch 0 step 003350  total 0.2984  mgm 0.0073  contrast 0.2814  next 0.0097  lr 2.92e-04
epoch 0 step 003400  total 0.3090  mgm 0.0139  contrast 0.2853  next 0.0098  lr 2.91e-04
epoch 0 step 003450  total 0.2561  mgm 0.0064  contrast 0.2443  next 0.0054  lr 2.91e-04
epoch 0 step 003500  total 0.3250  mgm 0.0038  contrast 0.3155  next 0.0056  lr 2.91e-04
epoch 0 step 003550  total 0.3082  mgm 0.0072  contrast 0.2924  next 0.0087  lr 2.91e-04
epoch 0 step 003600  total 0.3200  mgm 0.0062  contrast 0.3066  next 0.0072  lr 2.90e-04
epoch 0 step 003650  total 0.3530  mgm 0.0141  contrast 0.3241  next 0.0148  lr 2.90e-04
epoch 0 step 003700  total 0.2753  mgm 0.0022  contrast 0.2701  next 0.0030  lr 2.90e-04
epoch 0 step 003750  total 0.3236  mgm 0.0075  contrast 0.3074  next 0.0087  lr 2.89e-04
epoch 0 step 003800  total 0.2688  mgm 0.0221  contrast 0.2338  next 0.0129  lr 2.89e-04
epoch 0 step 003850  total 0.3153  mgm 0.0048  contrast 0.3044  next 0.0061  lr 2.89e-04
epoch 0 step 003900  total 0.2858  mgm 0.0050  contrast 0.2736  next 0.0071  lr 2.89e-04
epoch 0 step 003950  total 0.2980  mgm 0.0089  contrast 0.2738  next 0.0154  lr 2.88e-04
epoch 0 step 004000  total 0.2936  mgm 0.0081  contrast 0.2766  next 0.0089  lr 2.88e-04
epoch 0 step 004050  total 0.2627  mgm 0.0059  contrast 0.2517  next 0.0052  lr 2.88e-04
epoch 0 step 004100  total 0.3091  mgm 0.0067  contrast 0.2971  next 0.0053  lr 2.87e-04
epoch 0 step 004150  total 0.2557  mgm 0.0072  contrast 0.2401  next 0.0084  lr 2.87e-04
epoch 0 step 004200  total 0.3116  mgm 0.0065  contrast 0.2931  next 0.0120  lr 2.87e-04
epoch 0 step 004250  total 0.2844  mgm 0.0059  contrast 0.2717  next 0.0068  lr 2.87e-04
epoch 0 step 004300  total 0.2803  mgm 0.0043  contrast 0.2696  next 0.0063  lr 2.86e-04
epoch 0 step 004350  total 0.3073  mgm 0.0039  contrast 0.2963  next 0.0071  lr 2.86e-04
epoch 0 step 004400  total 0.3689  mgm 0.0295  contrast 0.3049  next 0.0346  lr 2.86e-04
epoch 0 step 004450  total 0.2736  mgm 0.0053  contrast 0.2603  next 0.0080  lr 2.85e-04
epoch 0 step 004500  total 0.2567  mgm 0.0061  contrast 0.2401  next 0.0105  lr 2.85e-04
epoch 0 step 004550  total 0.2646  mgm 0.0039  contrast 0.2562  next 0.0045  lr 2.85e-04
epoch 0 step 004600  total 0.3243  mgm 0.0052  contrast 0.3120  next 0.0071  lr 2.84e-04
epoch 0 step 004650  total 0.2924  mgm 0.0060  contrast 0.2805  next 0.0059  lr 2.84e-04
epoch 0 step 004700  total 0.2543  mgm 0.0075  contrast 0.2403  next 0.0065  lr 2.84e-04
epoch 0 step 004750  total 0.3479  mgm 0.0294  contrast 0.2835  next 0.0350  lr 2.83e-04
epoch 0 step 004800  total 0.2644  mgm 0.0035  contrast 0.2551  next 0.0058  lr 2.83e-04
epoch 0 step 004850  total 0.3078  mgm 0.0035  contrast 0.2992  next 0.0050  lr 2.83e-04
epoch 0 step 004900  total 0.2835  mgm 0.0085  contrast 0.2664  next 0.0086  lr 2.82e-04
epoch 0 step 004950  total 0.3215  mgm 0.0078  contrast 0.3053  next 0.0084  lr 2.82e-04
epoch 0 step 005000  total 0.3847  mgm 0.0054  contrast 0.3724  next 0.0070  lr 2.81e-04
